iso3,anio,gran_sector,sector_codigo,sector_desc,empleo_miles,share_empleo,empleo_ponderado
ARG,1978,Bienes,DE,"Electricidad, gas y agua",193.1283071391579,0.020135095,3.8886568114361224
ARG,1978,Bienes,F,Construcción,820.7974196347346,0.085574374,70.23922536605772
ARG,1978,Servicios,GI,"Comercio, hoteles y restaurantes",1569.235299224448,0.16360472,256.73430174373203
ARG,1978,Servicios,H,Transporte,565.1428670767286,0.058920443,33.29846808645097
ARG,1978,Servicios,JMN,Servicios empresariales,457.5317553479907,0.047701169,21.82479958472116
ARG,1978,Servicios,K,Finanzas,64.8723583776383,0.0067634368,0.4387600959541072
ARG,1978,Servicios,L,Servicios inmobiliarios,46.52946650646879,0.0048510511,0.2257168196786186
ARG,1978,Servicios,OPQ,"Administración pública, defensa, educación y salud",1659.380911905937,0.17300309,287.07802524674486
ARG,1978,Servicios,RSTU,Otros servicios,928.7311928784376,0.096827291,89.9265254736176
ARG,1979,Bienes,A,Agro y pesca,1203.147702720417,0.12328099,148.3252399075987
ARG,1979,Bienes,B,Petróleo y minería,26.60331699114126,0.002725919,0.07251848724917478
ARG,1979,Bienes,C,Industria,1980.559880082392,0.20293882,401.9324850032621
ARG,1979,Bienes,DE,"Electricidad, gas y agua",195.594288352405,0.020041645,3.9200312911865356
ARG,1979,Bienes,F,Construcción,857.1167440131106,0.087824799,75.27610576248588
ARG,1979,Servicios,GI,"Comercio, hoteles y restaurantes",1605.822151135489,0.16454118,264.2238716179717
ARG,1979,Servicios,H,Transporte,555.6259780085747,0.056932427,31.633135432276788
ARG,1979,Servicios,JMN,Servicios empresariales,431.8778659512236,0.04425253,19.1116882193425
ARG,1979,Servicios,K,Finanzas,61.23495335104823,0.0062744631,0.3842164552313735
ARG,1979,Servicios,L,Servicios inmobiliarios,50.24930160030317,0.0051488141,0.25872431259479356
ARG,1979,Servicios,OPQ,"Administración pública, defensa, educación y salud",1789.823631321021,0.18339497,328.24465117140966
ARG,1979,Servicios,RSTU,Otros servicios,1001.738072453503,0.10264347,102.82187178773897
ARG,1980,Bienes,A,Agro y pesca,1171.340734056657,0.11967674,140.1822404811077
ARG,1980,Bienes,B,Petróleo y minería,27.15504266836285,0.0027744505,0.07534032170876065
ARG,1980,Bienes,C,Industria,2028.401712508682,0.20724328,420.3726240579163
ARG,1980,Bienes,DE,"Electricidad, gas y agua",197.8216248143925,0.020211579,3.998287397844454
ARG,1980,Bienes,F,Construcción,997.465814956131,0.10191181,101.65354661530439
ARG,1980,Servicios,GI,"Comercio, hoteles y restaurantes",1631.874615653748,0.16672982,272.08216093051857
ARG,1980,Servicios,H,Transporte,545.5244276769414,0.055736627,30.405691544818158
ARG,1980,Servicios,JMN,Servicios empresariales,467.3591835218954,0.047750428,22.316601042901052
ARG,1980,Servicios,K,Finanzas,66.26576645254484,0.0067704218,0.44864718978401824
ARG,1980,Servicios,L,Servicios inmobiliarios,56.4280101185966,0.0057652909,0.3253238932418529
