iso3,anio,gran_sector,sector_codigo,sector_desc,empleo_miles,share_empleo
ARG,1981,Servicios,OPQ,"Administración pública, defensa, educación y salud",1666.078077049853,0.16937359
ARG,1981,Servicios,RSTU,Otros servicios,932.4794981219092,0.09479592
ARG,1982,Bienes,A,Agro y pesca,1143.539602267151,0.11447573
ARG,1982,Bienes,B,Petróleo y minería,20.18166000708884,0.002020315
ARG,1982,Bienes,C,Industria,1738.094857313353,0.17399457
ARG,1982,Bienes,DE,"Electricidad, gas y agua",151.4704390205143,0.015163174
ARG,1982,Bienes,F,Construcción,752.832042057868,0.075363375
ARG,1982,Servicios,GI,"Comercio, hoteles y restaurantes",1806.84366095325,0.18087678
ARG,1982,Servicios,H,Transporte,433.7171707143307,0.043417905
ARG,1982,Servicios,JMN,Servicios empresariales,560.467674691083,0.056106452
ARG,1982,Servicios,K,Finanzas,79.46740182872689,0.0079552028
ARG,1982,Servicios,L,Servicios inmobiliarios,58.29066826657728,0.0058352742
ARG,1982,Servicios,OPQ,"Administración pública, defensa, educación y salud",2080.199607250596,0.20824148
ARG,1982,Servicios,RSTU,Otros servicios,1164.257253295811,0.11654971
ARG,1983,Bienes,A,Agro y pesca,1168.541342746153,0.11327712
ARG,1983,Bienes,B,Petróleo y minería,23.581485354794822,0.0022859634
ARG,1983,Bienes,C,Industria,1849.828249290262,0.17932034
ARG,1983,Bienes,DE,"Electricidad, gas y agua",179.6453704987252,0.017414626
ARG,1983,Bienes,F,Construcción,754.4036924352606,0.07313107
ARG,1983,Servicios,GI,"Comercio, hoteles y restaurantes",1887.413007819449,0.18296376
ARG,1983,Servicios,H,Transporte,524.1600266455982,0.050811499
ARG,1983,Servicios,JMN,Servicios empresariales,617.5779347033829,0.05986733
ARG,1983,Servicios,K,Finanzas,87.56493213400628,0.0084884493
ARG,1983,Servicios,L,Servicios inmobiliarios,58.21289708718064,0.0056430949
ARG,1983,Servicios,OPQ,"Administración pública, defensa, educación y salud",2029.156757836096,0.19670424
ARG,1983,Servicios,RSTU,Otros servicios,1135.689318058931,0.11009248
ARG,1984,Bienes,A,Agro y pesca,1174.214411361454,0.11122345
ARG,1984,Bienes,B,Petróleo y minería,24.60957193398702,0.0023310576
ARG,1984,Bienes,C,Industria,2053.973468290454,0.19455563
ARG,1984,Bienes,DE,"Electricidad, gas y agua",190.2929863260845,0.018024852
ARG,1984,Bienes,F,Construcción,746.9929869443737,0.070756361
ARG,1984,Servicios,GI,"Comercio, hoteles y restaurantes",1821.792615527347,0.17256308
ARG,1984,Servicios,H,Transporte,565.7698264875422,0.053590614
ARG,1984,Servicios,JMN,Servicios empresariales,583.0584811674671,0.055228222
ARG,1984,Servicios,K,Finanzas,82.67049948620254,0.0078306803
ARG,1984,Servicios,L,Servicios inmobiliarios,57.40406347726323,0.0054374039
ARG,1984,Servicios,OPQ,"Administración pública, defensa, educación y salud",2087.906481501865,0.19776981
ARG,1984,Servicios,RSTU,Otros servicios,1168.570677938332,0.11068887
ARG,1985,Bienes,A,Agro y pesca,1187.958712068043,0.11115315
ARG,1985,Bienes,B,Petróleo y minería,30.38018666092032,0.0028425679
ARG,1985,Bienes,C,Industria,1892.225411212405,0.17704892
ARG,1985,Bienes,DE,"Electricidad, gas y agua",238.442145635676,0.022310199
ARG,1985,Bienes,F,Construcción,788.8683959937224,0.073811658
ARG,1985,Servicios,GI,"Comercio, hoteles y restaurantes",1866.034993742598,0.17459838
ARG,1985,Servicios,H,Transporte,722.3857515958525,0.067591108
ARG,1985,Servicios,JMN,Servicios empresariales,698.167943405607,0.065325134000000007
ARG,1985,Servicios,K,Finanzas,98.99160113583612,0.0092622982
ARG,1985,Servicios,L,Servicios inmobiliarios,55.49862954810231,0.005192813
ARG,1985,Servicios,OPQ,"Administración pública, defensa, educación y salud",1993.114025148977,0.18648872
ARG,1985,Servicios,RSTU,Otros servicios,1115.516728460646,0.104375
ARG,1986,Bienes,A,Agro y pesca,1230.817413231385,0.11231323
ARG,1986,Bienes,B,Petróleo y minería,23.61969193400522,0.0021553189
ARG,1986,Bienes,C,Industria,2040.138733157118,0.18616454
ARG,1986,Bienes,DE,"Electricidad, gas y agua",188.1657944084155,0.017170303
ARG,1986,Bienes,F,Construcción,795.2597810625773,0.072568193
ARG,1986,Servicios,GI,"Comercio, hoteles y restaurantes",1974.835156610941,0.18020554
ARG,1986,Servicios,H,Transporte,580.8927944157188,0.053007007
ARG,1986,Servicios,JMN,Servicios empresariales,707.3529146887311,0.064546607
ARG,1986,Servicios,K,Finanzas,100.2939167495665,0.0091519123
ARG,1986,Servicios,L,Servicios inmobiliarios,59.18894596158592,0.005401046
ARG,1986,Servicios,OPQ,"Administración pública, defensa, educación y salud",2089.028940967807,0.19062583
ARG,1986,Servicios,RSTU,Otros servicios,1169.198902061728,0.10669048
ARG,1987,Bienes,A,Agro y pesca,1211.973942482209,0.10843347
ARG,1987,Bienes,B,Petróleo y minería,25.15831521436822,0.0022508763
ARG,1987,Bienes,C,Industria,2049.466820479749,0.18336269
ARG,1987,Bienes,DE,"Electricidad, gas y agua",203.4332138600922,0.018200861
ARG,1987,Bienes,F,Construcción,844.61898729623,0.075566784
ARG,1987,Servicios,GI,"Comercio, hoteles y restaurantes",2042.643295927817,0.18275221
ARG,1987,Servicios,H,Transporte,639.9504131316927,0.057255395
ARG,1987,Servicios,JMN,Servicios empresariales,641.4602666268705,0.057390478
ARG,1987,Servicios,K,Finanzas,90.95115216644062,0.0081372615
ARG,1987,Servicios,L,Servicios inmobiliarios,59.97833897102152,0.0053661712
ARG,1987,Servicios,OPQ,"Administración pública, defensa, educación y salud",2159.080065508282,0.19316962
ARG,1987,Servicios,RSTU,Otros servicios,1208.40549048887,0.10811421
ARG,1988,Bienes,A,Agro y pesca,1224.421176236115,0.10741635
ARG,1988,Bienes,B,Petróleo y minería,25.24468502210443,0.0022146723
ARG,1988,Bienes,C,Industria,2046.762401051252,0.17955892
ARG,1988,Bienes,DE,"Electricidad, gas y agua",198.8581717155668,0.017445482
ARG,1988,Bienes,F,Construcción,827.1559034551781,0.072564952
ARG,1988,Servicios,GI,"Comercio, hoteles y restaurantes",2098.221757041448,0.18407336
ARG,1988,Servicios,H,Transporte,655.8612048677714,0.057537563
ARG,1988,Servicios,JMN,Servicios empresariales,660.86523708686,0.057976559
ARG,1988,Servicios,K,Finanzas,93.70253758018194,0.0082203606
ARG,1988,Servicios,L,Servicios inmobiliarios,58.92451789923994,0.0051693455
ARG,1988,Servicios,OPQ,"Administración pública, defensa, educación y salud",2249.695904313091,0.19736192
ARG,1988,Servicios,RSTU,Otros servicios,1259.121848296197,0.11046057
ARG,1989,Bienes,A,Agro y pesca,1234.923521979266,0.1074199
ARG,1989,Bienes,B,Petróleo y minería,25.01834624044558,0.0021762224
ARG,1989,Bienes,C,Industria,2018.804182207365,0.1756058
ARG,1989,Bienes,DE,"Electricidad, gas y agua",191.9840922520099,0.016699748
ARG,1989,Bienes,F,Construcción,800.0444868543416,0.069591917
ARG,1989,Servicios,GI,"Comercio, hoteles y restaurantes",2128.680386989389,0.18516339
ARG,1989,Servicios,H,Transporte,663.8619500964013,0.057746075
ARG,1989,Servicios,JMN,Servicios empresariales,672.4442599197748,0.058492608
ARG,1989,Servicios,K,Finanzas,95.3443001684604,0.00829353
ARG,1989,Servicios,L,Servicios inmobiliarios,54.21537965769549,0.0047159283
ARG,1989,Servicios,OPQ,"Administración pública, defensa, educación y salud",2315.150040031314,0.20138347
ARG,1989,Servicios,RSTU,Otros servicios,1295.755569407639,0.11271138
ARG,1990,Bienes,A,Agro y pesca,1247.640336,0.10562947
